variable,Street km,Daily Trips,Daily Trips/km2,Street km/km2,ES Crashes,Crashes/km2,Crashes/10km Street,Crashes/10km BP,Crashes/10M Trips,Severity %,BP km,BP km/km2,BP Share %
Street km,1.000,0.968,0.968,0.846,0.707,0.871,0.307,0.511,-0.748,-0.210,-0.061,0.361,-0.693
Daily Trips,0.968,1.000,0.954,0.793,0.789,0.893,0.421,0.577,-0.587,-0.203,0.018,0.357,-0.632
Daily Trips/km2,0.968,0.954,1.000,0.918,0.778,0.939,0.404,0.599,-0.629,-0.287,-0.225,0.361,-0.811
Street km/km2,0.846,0.793,0.918,1.000,0.597,0.854,0.232,0.401,-0.664,-0.524,-0.411,0.443,-0.843
ES Crashes,0.707,0.789,0.778,0.597,1.000,0.909,0.871,0.820,0.032,-0.067,-0.132,0.018,-0.614
Crashes/km2,0.871,0.893,0.939,0.854,0.909,1.000,0.646,0.731,-0.399,-0.336,-0.286,0.196,-0.786
Crashes/10km Street,0.307,0.421,0.404,0.232,0.871,0.646,1.000,0.687,0.545,-0.021,-0.132,-0.204,-0.346
Crashes/10km BP,0.511,0.577,0.599,0.401,0.820,0.731,0.687,1.000,0.140,0.098,-0.418,-0.159,-0.659
Crashes/10M Trips,-0.748,-0.587,-0.629,-0.664,0.032,-0.399,0.545,0.140,1.000,-0.049,-0.105,-0.308,0.350
Severity %,-0.210,-0.203,-0.287,-0.524,-0.067,-0.336,-0.021,0.098,-0.049,1.000,0.140,-0.678,0.210
BP km,-0.061,0.018,-0.225,-0.411,-0.132,-0.286,-0.132,-0.418,-0.105,0.140,1.000,0.296,0.700
BP km/km2,0.361,0.357,0.361,0.443,0.018,0.196,-0.204,-0.159,-0.308,-0.678,0.296,1.000,-0.032
BP Share %,-0.693,-0.632,-0.811,-0.843,-0.614,-0.786,-0.346,-0.659,0.350,0.210,0.700,-0.032,1.000
