Variable,Area km2,Street km,Daily Trips,VKT km,Daily Trips/km2,Street km/km2,ES Crashes,Cost M NIS,Crashes/km2,Crashes/km Street,Crashes/10km BP,Crashes/10M Trips,Severity %,BP km,BP km/km2,BP Share %
Area km2,1.000,-0.429,-0.375,-0.418,-0.582,-0.818,-0.242,0.104,-0.521,-0.007,-0.275,0.301,0.657,0.636,-0.431,0.739
Street km,-0.429,1.000,0.968,0.989,0.968,0.846,0.707,0.525,0.871,0.307,0.511,-0.748,-0.210,-0.061,0.349,-0.693
Daily Trips,-0.375,0.968,1.000,0.986,0.954,0.793,0.789,0.600,0.893,0.421,0.577,-0.587,-0.203,0.018,0.350,-0.632
VKT km,-0.418,0.989,0.986,1.000,0.968,0.825,0.739,0.550,0.879,0.343,0.544,-0.685,-0.168,-0.039,0.352,-0.679
Daily Trips/km2,-0.582,0.968,0.954,0.968,1.000,0.918,0.778,0.543,0.939,0.404,0.599,-0.629,-0.287,-0.225,0.347,-0.811
Street km/km2,-0.818,0.846,0.793,0.825,0.918,1.000,0.597,0.304,0.854,0.232,0.401,-0.664,-0.524,-0.411,0.422,-0.843
ES Crashes,-0.242,0.707,0.789,0.739,0.778,0.597,1.000,0.784,0.909,0.871,0.820,0.032,-0.067,-0.132,0.010,-0.614
Cost M NIS,0.104,0.525,0.600,0.550,0.543,0.304,0.784,1.000,0.639,0.668,0.544,-0.063,0.517,0.050,-0.256,-0.439
Crashes/km2,-0.521,0.871,0.893,0.879,0.939,0.854,0.909,0.639,1.000,0.646,0.731,-0.399,-0.336,-0.286,0.181,-0.786
Crashes/km Street,-0.007,0.307,0.421,0.343,0.404,0.232,0.871,0.668,0.646,1.000,0.687,0.545,-0.021,-0.132,-0.209,-0.346
Crashes/10km BP,-0.275,0.511,0.577,0.544,0.599,0.401,0.820,0.544,0.731,0.687,1.000,0.140,0.098,-0.418,-0.159,-0.659
Crashes/10M Trips,0.301,-0.748,-0.587,-0.685,-0.629,-0.664,0.032,-0.063,-0.399,0.545,0.140,1.000,-0.049,-0.105,-0.308,0.350
Severity %,0.657,-0.210,-0.203,-0.168,-0.287,-0.524,-0.067,0.517,-0.336,-0.021,0.098,-0.049,1.000,0.140,-0.678,0.210
BP km,0.636,-0.061,0.018,-0.039,-0.225,-0.411,-0.132,0.050,-0.286,-0.132,-0.418,-0.105,0.140,1.000,0.313,0.700
BP km/km2,-0.431,0.349,0.350,0.352,0.347,0.422,0.010,-0.256,0.181,-0.209,-0.159,-0.308,-0.678,0.313,1.000,-0.013
BP Share %,0.739,-0.693,-0.632,-0.679,-0.811,-0.843,-0.614,-0.439,-0.786,-0.346,-0.659,0.350,0.210,0.700,-0.013,1.000
