Variable_A,Variable_B,rho,n,p_approx,strength,direction,interpretation
"BP Share %","Crash per km2","-0.79","15","p<0.01","Moderate","Negative","Protected network share is strongly protective against crash density."
"Crash per km2","Crash per 10M Trips","-0.40","12","p<0.15","Weak","Negative","Spatial crash density and per-trip risk remain distinct dimensions."
"Severity %","Crash per km2","-0.34","12","n.s.","Weak","Negative","Severity is only weakly related to crash density in the verified Q15 table."
"BP km absolute","Crash per km2","-0.29","15","n.s.","Weak","Negative","Absolute bike-path length alone is not a direct proxy for crash density."
"BP km absolute","Crashes","-0.13","15","n.s.","Weak","Negative","Absolute bike-path length alone is not a direct proxy for crash volume."
"Severity %","Crashes","-0.07","12","n.s.","None","Negative","Severity is only weakly related to crash volume in the verified Q15 table."
"Severity %","Crash per 10M Trips","-0.05","12","n.s.","None","Negative","Severity and per-trip risk remain largely independent."
"Severity %","Crash per 10km Street","-0.02","12","n.s.","None","Negative","Street-normalized crash intensity is only weakly related to severity."
"Crashes","Crash per 10M Trips","0.03","12","n.s.","None","Positive","Volume and per-trip rate are largely independent in the verified Q15 table."
"BP km per km2","Crash per km2","0.18","15","n.s.","Weak","Positive","Bike-path density shows only a weak direct relation to crash density."
"Crash per 10km Street","Crash per 10M Trips","0.55","12","p<0.05","Moderate","Positive","Street-normalized risk and per-trip risk are related but not interchangeable."
"Crash per 10km BP","Crash per 10km Street","0.69","13","p<0.01","Moderate","Positive","Bike-path and street infrastructure gaps still cluster in similar quarters."
"Crash per km2","Crash per 10km BP","0.73","13","p<0.01","Moderate","Positive","Density and bike-path gap still reinforce each other."
"Daily Trips","Crashes","0.79","15","p<0.01","Moderate","Positive","Higher exposure still aligns with higher crash counts."
"Crashes","Crash per 10km BP","0.82","13","p<0.001","Strong","Positive","High-crash quarters still tend to have elevated bike-path-normalized risk."
"Crashes","Crash per 10km Street","0.87","15","p<0.001","Strong","Positive","High-crash quarters still saturate the street network."
"Daily Trips","Crash per km2","0.89","15","p<0.001","Strong","Positive","Exposure remains the primary driver of crash density."
"Crashes","Crash per km2","0.91","15","p<0.001","Strong","Positive","Volume and density still co-move strongly."
"Daily Trips","VKT km","0.99","15","p<0.001","Strong","Positive","Trips and VKT are effectively interchangeable in the verified Q15 table."
